num_topics,c_v
5.0,0.47022233726720336
6.0,0.469205455190189
7.0,0.46225214775497986
8.0,0.4752082772798432
9.0,0.48852367975331723
10.0,0.48253842274454345
11.0,0.4795940933790306
12.0,0.5032416969316768
13.0,0.48540979092779657
14.0,0.48973266385602454
15.0,0.5210511407684997
16.0,0.4938035574469356
17.0,0.5095563683085664
18.0,0.5293046938499331
19.0,0.5233621854422976
20.0,0.5299234161124815
21.0,0.490896887499483
22.0,0.5105895792306134
23.0,0.5348223533273575
24.0,0.5204302647637508
25.0,0.51968539319313
26.0,0.5103389991479823
27.0,0.49737088352945624
28.0,0.5173976318430641
29.0,0.5073786494867736
30.0,0.5179332702507705
31.0,0.4964209024957461
32.0,0.5053885785392985
33.0,0.5183858086509407
34.0,0.5307714969561285
35.0,0.48703110921085613
36.0,0.518632916592439
37.0,0.509609789485177
38.0,0.49634078708382867
39.0,0.48943463060429965
40.0,0.5141961503212377
41.0,0.5307628183543955
42.0,0.502493482321446
43.0,0.5054172180548657
44.0,0.5085848724809433
45.0,0.5080776451443441
46.0,0.4893665025393269
47.0,0.48768438995973334
48.0,0.5010106307137631
49.0,0.47675138004008955
